profile,Meta,Isolate,log_odds,p,padj,Name,full
K03195,10328,962,-0.044872344444294714,0.2224740160384892,0.22323179168919136,type IV secretion system protein VirB10,type IV secretion system protein VirB10 - K03195
K13581,958,89,-0.04671493854144928,0.7342651680125545,0.7351459339078115,modification methylase [EC:2.1.1.72],modification methylase [EC:2.1.1.72] - K13581
PF20605,718,67,-0.05437965870083767,0.7441619065495373,0.7489983140877708,Antitoxin-like ribbon-helix-helix,Antitoxin-like ribbon-helix-helix - PF20605
PF11745,157,14,-0.05784738477862686,1,1,Protein of unknown function (DUF3304),Protein of unknown function (DUF3304) - PF11745
PF04956,9705,916,-0.05946720023330002,0.111918053596925,0.11437995534784724,TrbC/VIRB2 pilin,TrbC/VIRB2 pilin - PF04956
K02316,482,45,-0.061250788198993183,0.7507356934375667,0.751485978959691,DNA primase [EC:2.7.7.101],DNA primase [EC:2.7.7.101] - K02316
PF08463,345,32,-0.06260443022965956,0.8507512286649603,0.8551688031971887,EcoEI R protein C-terminal,EcoEI R protein C-terminal - PF08463
PF10108,93,8,-0.06628903014568913,1,1,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB,Predicted 3'-5' exonuclease related to the exonuclease domain of PolB - PF10108
NF010464.0,938,90,-0.07918922203432645,0.5299513906277082,0.5382920299475148,conjugal transfer relaxase TraA,conjugal transfer relaxase TraA - NF010464.0
PF03852,604,58,-0.08519287471128023,0.6189107474181923,0.6248281904617388,DNA mismatch endonuclease Vsr,DNA mismatch endonuclease Vsr - PF03852
TIGR03783.1,337,32,-0.08608608316747424,0.7046139080198828,0.7122542997935923,TraG family conjugative transposon ATPase,TraG family conjugative transposon ATPase - TIGR03783.1
TIGR00632.1,590,57,-0.0915424371850015,0.5657259619264566,0.573241644995528,DNA mismatch endonuclease Vsr,DNA mismatch endonuclease Vsr - TIGR00632.1
PF04335,10221,995,-0.09496320574772565,0.00854193650161331,0.008842655300021264,VirB8 protein,VirB8 protein - PF04335
TIGR03764.1,334,32,-0.09503473194828779,0.7026553028917558,0.7111312414067347,ParB family protein,ParB family protein - TIGR03764.1
K03581,10513,1032,-0.10484977780954467,0.0031005953004654757,0.0031217895586512067,exodeoxyribonuclease V alpha subunit [EC:3.1.11.5],exodeoxyribonuclease V alpha subunit [EC:3.1.11.5] - K03581
TIGR02775.1,3587,355,-0.10632015722362943,0.07100266406738526,0.07381813525717004,P-type conjugative transfer protein TrbG,P-type conjugative transfer protein TrbG - TIGR02775.1
PF13572,320,31,-0.10698390762453748,0.6272944880304725,0.6327421171058566,Domain of unknown function (DUF4134),Domain of unknown function (DUF4134) - PF13572
K12082,3242,322,-0.10985145969232776,0.07658502138285629,0.07696925287685015,type IV secretion system protein PtlG,type IV secretion system protein PtlG - K12082
PF18173,119,11,-0.10985671314994057,0.8728885159909932,0.8770415322867982,Bacterial HORMA domain 2,Bacterial HORMA domain 2 - PF18173
PF11720,129,12,-0.10986960497515959,0.8776724563702525,0.8814669762853854,Peptidase inhibitor I78 family,Peptidase inhibitor I78 family - PF11720
PF04610,10039,1012,-0.1345267889504577,1.767395303756668e-4,1.8636674038251204e-4,TrbL/VirB6 plasmid conjugal transfer protein,TrbL/VirB6 plasmid conjugal transfer protein - PF04610
TIGR02783.1,3600,367,-0.1372594795423301,0.018222770213989634,0.019231326049732458,P-type conjugative transfer protein TrbL,P-type conjugative transfer protein TrbL - TIGR02783.1
NF038317.1,115,11,-0.14380228443158358,0.7468446867416109,0.7495247514069516,DISARM system SNF2-like helicase DrmD,DISARM system SNF2-like helicase DrmD - NF038317.1
PF13571,202,20,-0.14395179807462471,0.6249703461532677,0.6306716394935017,Domain of unknown function (DUF4133),Domain of unknown function (DUF4133) - PF13571
NF033832.1,93,9,-0.1717722236588223,0.7205944471761307,0.727192525279099,sce7726 family protein,sce7726 family protein - NF033832.1
NF038319.1,111,11,-0.17893759714997265,0.7403283960904685,0.7438748794250336,DISARM system phospholipase D-like protein DrmC,DISARM system phospholipase D-like protein DrmC - NF038319.1
PF08275,753,80,-0.18302071953092724,0.14511690955579956,0.14804856429430055,"DNA primase catalytic core, N-terminal domain","DNA primase catalytic core, N-terminal domain - PF08275"
TIGR02780.1,3298,352,-0.1847750582856,0.0017327970319417723,0.0018638675766655729,P-type conjugative transfer protein TrbJ,P-type conjugative transfer protein TrbJ - TIGR02780.1
PF19778,174,18,-0.1923507989812316,0.5118821329427625,0.5170009542721902,Endonuclease domain,Endonuclease domain - PF19778
K21039,118,12,-0.19840165687456066,0.6314146569992476,0.6322984607582947,Escherichia phage integrase [EC:2.7.7.- 3.1.-.-],Escherichia phage integrase [EC:2.7.7.- 3.1.-.-] - K21039
TIGR04360.1,983,107,-0.20527422310826823,0.05917178077557653,0.06167096157852013,putative entry exclusion protein TrbK-alt,putative entry exclusion protein TrbK-alt - TIGR04360.1
TIGR01051.1,216,23,-0.21100764336167924,0.4090653500809075,0.4165119280556813,type I DNA topoisomerase,type I DNA topoisomerase - TIGR01051.1
K19093,277,30,-0.21940800676895034,0.2990802715665192,0.2999787702794168,toxin ParE2,toxin ParE2 - K19093
K19584,106,11,-0.22466258379460727,0.6123259830686343,0.6133057046415441,protein kinase X [EC:2.7.11.11],protein kinase X [EC:2.7.11.11] - K19584
K07458,275,30,-0.22665040716475074,0.29614494566276345,0.29709412818091335,"DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-]","DNA mismatch endonuclease, patch repair protein [EC:3.1.-.-] - K07458"
PF02486,159,17,-0.22793790907835448,0.49061982505952995,0.4957415631201775,Replication initiation factor,Replication initiation factor - PF02486
PF14293,283,31,-0.22986092821937829,0.30219343409169463,0.30601366494987214,YWFCY protein,YWFCY protein - PF14293
PF10074,1408,158,-0.2346777542840525,0.008158346431506846,0.008449326241814714,Uncharacterized conserved protein (DUF2285),Uncharacterized conserved protein (DUF2285) - PF10074
PF03743,12091,1323,-0.2353539509627988,3.80326075492174e-13,4.313952506681251e-13,Bacterial conjugation TrbI-like protein,Bacterial conjugation TrbI-like protein - PF03743
PF11000,1327,149,-0.23539169153735473,0.009883118774078284,0.010221943415932258,Protein of unknown function (DUF2840),Protein of unknown function (DUF2840) - PF11000
PF14452,439,49,-0.23884926188572447,0.15932285558402567,0.16232762873758405,Multiubiquitin,Multiubiquitin - PF14452
PF20137,315,35,-0.24101686430466412,0.2408857142696633,0.24467753137229029,Family of unknown function (DUF6527),Family of unknown function (DUF6527) - PF20137
PF11198,383,43,-0.24702500045759157,0.1572540504373899,0.16029010933131055,Protein of unknown function (DUF2857),Protein of unknown function (DUF2857) - PF11198
K12078,522,59,-0.2486845054857631,0.09517143158669285,0.0955530331568079,type IV secretion system protein PtlA,type IV secretion system protein PtlA - K12078
PF20084,955,109,-0.25305536580295396,0.018333053141887073,0.018927858866046077,Conjugative transfer region protein TrbK,Conjugative transfer region protein TrbK - PF20084
TIGR00571.1,129,14,-0.253216617931219,0.4474344144915688,0.4550272409193046,Dam family site-specific DNA-(adenine-N6)-methyltransferase,Dam family site-specific DNA-(adenine-N6)-methyltransferase - TIGR00571.1
PF11171,819,95,-0.2701448805291215,0.021277005432726134,0.021947816882869807,Protein of unknown function (DUF2958),Protein of unknown function (DUF2958) - PF11171
PF13271,246,28,-0.2710450896614969,0.22523999828528662,0.22908604028753102,Domain of unknown function (DUF4062),Domain of unknown function (DUF4062) - PF13271
NF040582.1,270,31,-0.27686032404363164,0.20583636437054625,0.2124190771302439,STY4528 family pathogenicity island replication protein,STY4528 family pathogenicity island replication protein - NF040582.1
NF038403.1,192,22,-0.28579686079779887,0.2619935557850671,0.2683914448152275,permease prefix domain 1-containing protein,permease prefix domain 1-containing protein - NF038403.1
PF20590,200,23,-0.2877769239874523,0.2701777290369366,0.2739514904202548,Domain of unknown function (DUF6791),Domain of unknown function (DUF6791) - PF20590
K03765,91,10,-0.2887332452643262,0.4711394458538783,0.4720821018079676,transcriptional activator of cad operon,transcriptional activator of cad operon - K03765
PF18723,99,11,-0.2923980746105259,0.4851291956729693,0.49040692843703554,"5-hmdU DNA kinase, helical domain","5-hmdU DNA kinase, helical domain - PF18723"
NF010453.0,447,53,-0.2981999894267482,0.05990287151611476,0.062355470473970574,conjugal transfer coupling protein TraG,conjugal transfer coupling protein TraG - NF010453.0
TIGR04474.1,337,40,-0.3041422687892605,0.09111962185967094,0.09449859424012846,three-Cys-motif partner protein TcmP,three-Cys-motif partner protein TcmP - TIGR04474.1
K03203,6219,739,-0.30797651647074875,3.3518394752984497e-13,3.4503621977995144e-13,type IV secretion system protein VirB8,type IV secretion system protein VirB8 - K03203
K20532,3795,455,-0.30814866020553855,6.470157379003114e-9,6.583207670468832e-9,type IV secretion system protein TrbG,type IV secretion system protein TrbG - K20532
PF19514,171,20,-0.3100056558024428,0.23682340827576132,0.2407618281945705,MobC-like protein,MobC-like protein - PF19514
K22570,112,13,-0.32443424378506514,0.3311286125309588,0.3320568865748982,5-dehydro-6-demethoxyfumagillol dioxygenase [EC:1.14.11.82],5-dehydro-6-demethoxyfumagillol dioxygenase [EC:1.14.11.82] - K22570
K03197,5558,675,-0.32903270329444995,9.55356678325728e-14,9.844498446615734e-14,type IV secretion system protein VirB2,type IV secretion system protein VirB2 - K03197
PF17762,367,45,-0.33446219338381533,0.05826531397533776,0.05967827352941341,HTH domain found in ParB protein,HTH domain found in ParB protein - PF17762
PF06634,253,31,-0.3418330456250289,0.10392027829025932,0.10625299580469735,Protein of unknown function (DUF1156),Protein of unknown function (DUF1156) - PF06634
TIGR00621.2,4292,531,-0.3435070386705959,4.421482047335382e-12,5.3375876801645825e-12,single-stranded DNA-binding protein,single-stranded DNA-binding protein - TIGR00621.2
PF01555,3465,431,-0.34569776787532425,3.099147461588246e-10,3.424985515351806e-10,DNA methylase,DNA methylase - PF01555
NF041117.1,141,17,-0.3474830177858732,0.2447152711637906,0.2513049112685683,CBASS oligonucleotide cyclase,CBASS oligonucleotide cyclase - NF041117.1
NF004805.0,141,17,-0.3474830177858732,0.2447152711637906,0.2513049112685683,hypothetical protein,hypothetical protein - NF004805.0
PF00436,5807,719,-0.35128445237176315,3.4319107273565214e-16,3.9782078940365264e-16,Single-strand binding protein family,Single-strand binding protein family - PF00436
NF010439.0,109,13,-0.351374636655932,0.3205152718311398,0.32754240324765693,type IV secretion system protein VirB8,type IV secretion system protein VirB8 - NF010439.0
PF12508,423,53,-0.35352639752219917,0.02379066313329581,0.02452983153956776,"Conjugative transposon, TraM","Conjugative transposon, TraM - PF12508"
PF13604,13479,1624,-0.3591654945892102,1.2847010488286178e-32,1.6822776417299204e-32,AAA domain,AAA domain - PF13604
PF11843,1463,186,-0.36150857360037114,1.354772143692735e-5,1.4462939750910954e-5,Protein of unknown function (DUF3363),Protein of unknown function (DUF3363) - PF11843
PF13854,100,12,-0.3626023306229493,0.3033594917918139,0.3070606097744591,Kelch motif,Kelch motif - PF13854
TIGR03747.1,378,48,-0.3684382582823253,0.026723414362777746,0.028131674592685736,TIGR03747 family integrating conjugative element membrane protein,TIGR03747 family integrating conjugative element membrane protein - TIGR03747.1
PF11740,2761,352,-0.36859737530976744,1.1899596923949835e-9,1.3076047140177612e-9,Plasmid replication region DNA-binding N-term,Plasmid replication region DNA-binding N-term - PF11740
PF04245,99,12,-0.3725636239278431,0.29931488072897666,0.30323090620733223,37-kD nucleoid-associated bacterial protein,37-kD nucleoid-associated bacterial protein - PF04245
PF14335,99,12,-0.3725636239278431,0.29931488072897666,0.30323090620733223,Domain of unknown function (DUF4391),Domain of unknown function (DUF4391) - PF14335
PF05565,145,18,-0.37384990110119237,0.19703182609547856,0.2004839824878654,Siphovirus Gp157,Siphovirus Gp157 - PF05565
TIGR04141.1,145,18,-0.37384990110119237,0.19703182609547856,0.20358337696318538,TIGR04141 family sporadically distributed protein,TIGR04141 family sporadically distributed protein - TIGR04141.1
PF13827,214,27,-0.3749342230976781,0.09920815553711645,0.10147976455866206,Domain of unknown function (DUF4189),Domain of unknown function (DUF4189) - PF13827
NF041859.1,290,37,-0.3780279052882355,0.05430950278748227,0.05674429992365831,"histone-like nucleoid-structuring protein, MvaT/MvaU family","histone-like nucleoid-structuring protein, MvaT/MvaU family - NF041859.1"
K03198,3652,470,-0.3825343443918009,4.731689220726023e-13,4.868769183767398e-13,type IV secretion system protein VirB3,type IV secretion system protein VirB3 - K03198
K07066,220,28,-0.3825582402905951,0.08221893357090321,0.08259827870071881,uncharacterized protein,uncharacterized protein - K07066
K12085,4511,582,-0.38951992596572144,3.824662645601108e-16,3.959055504169151e-16,type IV secretion system protein PtlF,type IV secretion system protein PtlF - K12085
TIGR03299.1,331,43,-0.3931094424641658,0.029345377048462955,0.030853096921880225,phage/plasmid-like protein TIGR03299,phage/plasmid-like protein TIGR03299 - TIGR03299.1
PF13884,104,13,-0.39794950953399444,0.23872192496925565,0.24258575315117276,Chaperone of endosialidase,Chaperone of endosialidase - PF13884
NF041728.1,104,13,-0.39794950953399444,0.23872192496925565,0.2457517730665098,BPSL0761 family protein,BPSL0761 family protein - NF041728.1
K03580,706,93,-0.3983765058147822,7.467247600795523e-4,7.525855501063389e-4,ATP-dependent helicase HepA [EC:5.6.2.-],ATP-dependent helicase HepA [EC:5.6.2.-] - K03580
TIGR02782.1,2811,370,-0.40214932874751386,1.499334616700708e-11,1.8047944668750274e-11,P-type conjugative transfer ATPase TrbB,P-type conjugative transfer ATPase TrbB - TIGR02782.1
TIGR03491.1,289,38,-0.4075807553019754,0.033361039344142585,0.034987390012169536,TM0106 family RecB-like putative nuclease,TM0106 family RecB-like putative nuclease - TIGR03491.1
TIGR03748.1,326,43,-0.4083396616560652,0.02209610373543636,0.023289737479938573,"integrating conjugative element protein PilL, PFGI-1 class","integrating conjugative element protein PilL, PFGI-1 class - TIGR03748.1"
K03204,4595,607,-0.41541956958093074,1.1286612717663463e-18,1.174145336311978e-18,type IV secretion system protein VirB9,type IV secretion system protein VirB9 - K03204
K07344,4932,651,-0.41648755104066226,6.424818927890237e-20,6.714418445507994e-20,type IV secretion system protein TrbL,type IV secretion system protein TrbL - K07344
PF13676,1287,173,-0.41787261791137414,1.4626033742085894e-6,1.5773573065397182e-6,TIR domain,TIR domain - PF13676
K12053,7775,1012,-0.41790970445920156,2.9118591712346385e-29,3.1557218631341855e-29,ComB4 competence protein,ComB4 competence protein - K12053
K18959,190,25,-0.4192086396057918,0.08030116509269877,0.08068784807067325,Straboviridae ATP-dependent DNA helicase UvsW [EC:5.6.2.4],Straboviridae ATP-dependent DNA helicase UvsW [EC:5.6.2.4] - K18959
K12063,10823,1390,-0.4215606116953501,1.2605686414930617e-38,1.4341044426618023e-38,conjugal transfer ATP-binding protein TraC,conjugal transfer ATP-binding protein TraC - K12063
PF19614,145,19,-0.42526649121634646,0.11741026817107955,0.11994021678162611,Family of unknown function (DUF6119),Family of unknown function (DUF6119) - PF19614
K20528,2354,318,-0.42698895830854405,3.3575942188798015e-11,3.437912870200378e-11,type IV secretion system protein TrbC,type IV secretion system protein TrbC - K20528
TIGR03780.1,210,28,-0.42897328396674655,0.057360285808440076,0.05985731317572292,conjugative transposon protein TraN,conjugative transposon protein TraN - TIGR03780.1
TIGR03750.1,385,52,-0.429027937194982,0.008511591557210457,0.009016698631943905,TIGR03750 family conjugal transfer protein,TIGR03750 family conjugal transfer protein - TIGR03750.1
K12523,166,22,-0.4307800882694784,0.0842082459208103,0.08456284250479607,minor pilin subunit PapK,minor pilin subunit PapK - K12523
PF13835,107,14,-0.4388615636056543,0.18321956597019473,0.18651141619139452,Domain of unknown function (DUF4194),Domain of unknown function (DUF4194) - PF13835
K07445,359,49,-0.44040811272931457,0.00847727993580937,0.00852836840468729,putative DNA methylase,putative DNA methylase - K07445
TIGR01690.1,378,52,-0.4474067710968594,0.0061101020172921955,0.006505552782370752,"integrative conjugative element protein, RAQPRD family","integrative conjugative element protein, RAQPRD family - TIGR01690.1"
