Profile	Meta_mean	Isolate_mean	Meta_n	Isolate_n	t	p	Cohen_d	q	Name
K22504	0.015434107739597391	0.0009222932466850652	68669	1170	131.4603077144582	0.0	0.13231502815585022	0.0	type III secretion system outer membrane ring protein
NF002921.0	0.014329515194166345	0.0	4052	0	28.832484227593643	1.3972826745694372e-182	0.13220289962303808	3.8668514248360193e-182	sugar transporter
TIGR02648.1	0.014304760355479484	0.0	4045	0	28.807207059046263	2.8924700514248142e-182	0.13208699858066358	8.000776270809189e-182	DNA replication terminus site-binding protein
TIGR01430.1	0.015790050676691196	0.0007169963100921603	4465	41	28.77946387586321	6.423384215332311e-182	0.13195979035147942	1.7758950659104744e-181	adenosine deaminase
K09915	0.013331694077010283	0.0	59315	0	130.92284114849855	0.0	0.13177406712324527	0.0	uncharacterized protein
K07457	0.012879025580490033	0.0	57301	0	128.65144056346816	0.0	0.12948789848735323	0.0	endonuclease III related protein
TIGR01083.1	0.013746008282261744	0.0	3887	0	28.230989739054852	3.8887772917321653e-175	0.1294449230690788	1.0587760437955842e-174	endonuclease III
NF011710.0	0.013657598144094379	0.0	3862	0	28.138795540690666	5.213183202254343e-174	0.12902219361378953	1.4180155639972247e-173	mannose-6-phosphate isomerase
K03675	0.01262032575948963	0.0	56150	0	127.33609633010941	0.0	0.12816400223077723	0.0	glutaredoxin 2
K02507	0.027004125711480698	0.00803262237924856	120146	10190	126.46816662165006	0.0	0.12729042947099384	0.0	protein transport protein HofQ
K01649	0.012321618494407499	0.0	54821	0	125.80110203103735	0.0	0.12661902780137044	0.0	2-isopropylmalate synthase [EC:2.3.3.13]
K03219	0.020345808163856106	0.00412588278046977	90522	5234	125.75665136696077	0.0	0.12657428813073454	0.0	type III secretion protein C
NF008607.0	0.0161118635796204	0.0014514803350646171	4556	83	27.59011767073721	2.2399650183973326e-167	0.12650639217280862	6.009995218137803e-167	oxidoreductase
PF11198	0.01420022567473922	0.0004977803521569728	17090	110	54.2651197076131	0.0	0.12558811016851054	0.0	Protein of unknown function (DUF2857)
PF20084	0.021358502104691143	0.0044438209619831566	25705	982	53.95909216532492	0.0	0.12487985741052209	0.0	Conjugative transfer region protein TrbK
K12523	0.01414780098409322	0.0010342296920092355	62946	1312	123.76289106734889	0.0	0.12456756492457739	0.0	minor pilin subunit PapK
NF033154.1	0.012632040541352958	0.0	3572	0	27.047643332885038	6.037777758770572e-161	0.12401903520873163	1.5938285107677113e-160	DNA endonuclease SmrA
K14059	0.08474250939275892	0.05199526713790333	377034	65960	121.85640068730791	0.0	0.12264867904411905	0.0	integrase
NF006846.0	0.012303154827370363	0.0	3479	0	26.688772637316973	9.232842770413258e-157	0.12237353889390386	2.4083664163662296e-156	adenosine deaminase
K00865	0.01586385062209328	0.0021843372534737743	70581	2771	120.92637123838902	0.0	0.12171260278765114	0.0	glycerate 2-kinase [EC:2.7.1.165]
NF040471.1	0.012122798145508942	0.0	3428	0	26.490011448736624	1.815609603389551e-154	0.12146217776194511	4.705948260959421e-154	DUF1471 family protein YdgH
NF002463.0	0.012101579712348775	0.0	3422	0	26.466534438580204	3.3792537704472116e-154	0.12135453081787122	8.754852570515795e-154	trans-aconitate 2-methyltransferase
NF007449.0	0.011995487546547938	0.0	3392	0	26.34885081688717	7.545076624046928e-153	0.1208149270881631	1.952100972849031e-152	Mal regulon transcriptional regulator MalI
NF007977.0	0.011995487546547938	0.0	3392	0	26.34885081688717	7.545076624046928e-153	0.1208149270881631	1.952100972849031e-152	two-component system response regulator RstA
NF008380.0	0.011790376025999654	0.0	3334	0	26.119898143577814	3.0529819654409015e-150	0.11976513175838797	7.852681253131811e-150	universal stress protein UspE
TIGR02004.1	0.01166306542703865	0.0	3298	0	25.976822915122643	1.2660042629036796e-148	0.11910910226343725	3.241763935837923e-148	maltose/glucose-specific PTS transporter subunit IIBC
NF007509.0	0.01166306542703865	0.0	3298	0	25.976822915122643	1.2660042629036796e-148	0.11910910226343725	3.241763935837923e-148	PTS maltose transporter subunit IICB
K08248	0.010747168237146148	0.0	47816	0	117.39557119758969	0.0	0.11815884641104364	0.0	(R)-mandelonitrile lyase [EC:4.1.2.10]
PF11149	0.011615269438688096	0.0	13979	0	50.95992650258243	0.0	0.1179387587877677	0.0	Protein of unknown function (DUF2924)
K14250	0.018570196881577065	0.004138495337689395	82622	5250	116.69974559023511	0.0	0.11745849672809097	0.0	cyclase
TIGR01944.1	0.01133771611858275	0.0	3206	0	25.607724952028885	1.71780529822481e-144	0.11741671181311138	4.33274558031758e-144	RnfABCDGE type electron transport complex subunit B
NF003454.1	0.01133771611858275	0.0	3206	0	25.607724952028885	1.71780529822481e-144	0.11741671181311138	4.33274558031758e-144	electron transport complex subunit RsxC
TIGR01945.1	0.01133771611858275	0.0	3206	0	25.607724952028885	1.71780529822481e-144	0.11741671181311138	4.33274558031758e-144	RnfABCDGE type electron transport complex subunit C
NF003475.0	0.01133771611858275	0.0	3206	0	25.607724952028885	1.71780529822481e-144	0.11741671181311138	4.33274558031758e-144	electron transport complex subunit RsxB
NF003481.0	0.01133771611858275	0.0	3206	0	25.607724952028885	1.71780529822481e-144	0.11741671181311138	4.33274558031758e-144	electron transport complex subunit RsxA
TIGR01943.1	0.01133771611858275	0.0	3206	0	25.607724952028885	1.71780529822481e-144	0.11741671181311138	4.33274558031758e-144	RnfABCDGE type electron transport complex subunit A
PF08900	0.012471936066579033	0.00047062869658477425	15010	104	50.65782497231748	0.0	0.11723959216896325	0.0	Transcriptional regulator AcaB
K25008	0.010515439726762643	0.0	46785	0	116.10944491720156	0.0	0.1168643580749052	0.0	ion-translocating oxidoreductase complex subunit C [EC:7.-.-.-]
K03615	0.010515439726762643	0.0	46785	0	116.10944491720156	0.0	0.1168643580749052	0.0	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit C [EC:7.1.1.11 7.2.1.2]
NF033636.1	0.01121394192514844	0.0	3171	0	25.465967163007416	6.405146251146447e-143	0.11676672305026821	1.6077478945311895e-142	acid resistance repetitive basic protein Asr
NF007898.0	0.011139677409087854	0.0	3150	0	25.380549586782926	5.614384526852745e-142	0.11637506580816201	1.4055609206989614e-141	two-component system sensor histidine kinase RstB
NF007978.0	0.011072485704080658	0.0	3131	0	25.30302965995711	4.0011434390493053e-141	0.11601962092092853	9.977579042126002e-141	endonuclease III
TIGR01948.1	0.011072485704080658	0.0	3131	0	25.30302965995711	4.0011434390493053e-141	0.11601962092092853	9.977579042126002e-141	RnfABCDGE type electron transport complex subunit E
TIGR01946.1	0.011015903215653546	0.0	3115	0	25.237573241616804	2.0908580227028757e-140	0.11571948971352997	5.193567909691214e-140	RnfABCDGE type electron transport complex subunit D
NF002519.0	0.011015903215653546	0.0	3115	0	25.237573241616804	2.0908580227028757e-140	0.11571948971352997	5.193567909691214e-140	electron transport complex subunit RsxG
TIGR01947.1	0.011015903215653546	0.0	3115	0	25.237573241616804	2.0908580227028757e-140	0.11571948971352997	5.193567909691214e-140	RnfABCDGE type electron transport complex subunit G
NF002011.0	0.011015903215653546	0.0	3115	0	25.237573241616804	2.0908580227028757e-140	0.11571948971352997	5.193567909691214e-140	electron transport complex subunit RsxD
PF11190	0.01239881612161841	0.0006063869744457668	14922	134	49.86951755195407	0.0	0.11541517826020033	0.0	Protein of unknown function (DUF2976)
K03614	0.010187738302767346	0.0	45327	0	114.26699754775125	0.0	0.11500993159589523	0.0	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit D [EC:7.1.1.11 7.2.1.2]
K00347	0.010187738302767346	0.0	45327	0	114.26699754775125	0.0	0.11500993159589523	0.0	Na+-transporting NADH:ubiquinone oxidoreductase subunit B [EC:7.2.1.1]
K20426	0.010096485368513512	0.0	44921	0	113.74885078419038	0.0	0.11448841597797706	0.0	1-epi-valienol-7-phosphate kinase [EC:2.7.-.-]
NF008228.0	0.010743599990098064	0.0	3038	0	24.920265862296574	5.962194710446001e-137	0.11426456979449728	1.4657061996513087e-136	MarC family NAAT transporter
K00797	0.010004782912416063	0.0	44513	0	113.22585978416446	0.0	0.1139620246276389	0.0	spermidine synthase [EC:2.5.1.16]
NF008565.1	0.010563243308236643	0.0	2987	0	24.707955594729913	1.155995431598367e-134	0.11329108333490205	2.8236286193074923e-134	multiple antibiotic resistance transcriptional regulator MarR
K13630	0.009854642616648672	0.0	43845	0	112.36454625207594	0.0	0.11309511106086978	0.0	multiple antibiotic resistance protein MarB
K07223	0.01818720427081713	0.004419913020652274	80918	5607	112.16673121379424	0.0	0.112896009881092	0.0	porphyrinogen peroxidase [EC:1.11.1.-]
NF006569.0	0.01045361473690911	0.0	2956	0	24.578046262684122	2.838480770683435e-133	0.11269542219627186	6.912606574732468e-133	methionine aminotransferase
NF006039.0	0.013848564042535885	0.0016963083433887693	3916	97	24.56048865726201	4.369256443368746e-133	0.11261491694639753	1.0631485810118765e-132	single-stranded DNA-binding protein
NF012198.0	0.010435932709275638	0.0	2951	0	24.55703148863919	4.756377323742075e-133	0.11259906511369332	1.1558703789289127e-132	MDR efflux pump AcrAB transcriptional activator MarA
NF008564.0	0.010435932709275638	0.0	2951	0	24.55703148863919	4.756377323742075e-133	0.11259906511369332	1.1558703789289127e-132	MDR efflux pump AcrAB transcriptional activator MarA
NF008523.0	0.010435932709275638	0.0	2951	0	24.55703148863919	4.756377323742075e-133	0.11259906511369332	1.1558703789289127e-132	O-acetylserine/cysteine exporter
TIGR00358.1	0.010241430405307438	0.0	2896	0	24.324720807817023	1.3897234154488204e-130	0.11153387262539916	3.3544441613722474e-130	VacB/RNase II family 3'-5' exoribonuclease
TIGR03757.1	0.013180183397990614	0.0014514803350646171	3727	83	24.31999695555873	1.5589205332376616e-130	0.11151221278641309	3.759672234184213e-130	TIGR03757 family integrating conjugative element protein
K01461	0.02455490594654466	0.008588363181738279	109249	10895	110.7220932561558	0.0	0.11144197926635219	0.0	N-acyl-D-glutamate deacylase [EC:3.5.1.82]
K03393	0.014029127217378874	0.00225843602713907	62418	2865	110.19301662938828	0.0	0.1109094627221235	0.0	phenylalanine 3-monooxygenase [EC:1.14.16.7]
PF11660	0.012376381593050946	0.001077015671030541	14895	238	47.66036075315226	0.0	0.11030243127056248	0.0	Protein of unknown function (DUF3262)
K00349	0.010884272399448707	0.0006984203560367246	48426	886	109.56081783805118	0.0	0.110273153540058	0.0	Na+-transporting NADH:ubiquinone oxidoreductase subunit D [EC:7.2.1.1]
K00350	0.010884272399448707	0.0006984203560367246	48426	886	109.56081783805118	0.0	0.110273153540058	0.0	Na+-transporting NADH:ubiquinone oxidoreductase subunit E [EC:7.2.1.1]
K03426	0.00928262607064865	0.0	41300	0	109.02318846753043	0.0	0.10973202864437939	0.0	NAD+ diphosphatase [EC:3.6.1.22]
NF002798.1	0.00990193547474476	0.0	2800	0	23.91404987872159	2.7840654615109937e-126	0.10965086153316228	6.649919297256852e-126	YnfC family lipoprotein
PF11990	0.01225091441476624	0.001077015671030541	14744	238	47.36505742432113	0.0	0.10961899802294046	0.0	Protein of unknown function (DUF3487)
K11260	0.009244866235784995	0.0	41132	0	108.79914708362666	0.0	0.10950653060215897	0.0	4Fe-4S ferredoxin
PF09686	0.012228479886198776	0.001077015671030541	14717	238	47.3120750798699	0.0	0.10949637869494894	0.0	Plasmid protein of unknown function (Plasmid_RAQPRD)
NF010464.0	0.02091430228487161	0.006243114212265883	5914	357	23.79866150010324	4.367909291559446e-125	0.10912178196735962	1.0385353084999879e-124	conjugal transfer relaxase TraA
K21947	0.009144173342815247	0.0	40684	0	108.19951945439388	0.0	0.10890300435135106	0.0	tRNA-5-methyluridine54 2-sulfurtransferase [EC:2.8.1.15]
TIGR00843.1	0.01681560827943262	0.00379483412902436	4755	217	23.674425173548155	8.339204697643682e-124	0.1085521327314683	1.9745663419368966e-123	benzoate/H(+) symporter BenE family transporter
K13246	0.009055392778701295	0.0	40289	0	107.66816159439523	0.0	0.10836819174191108	0.0	c-di-GMP phosphodiesterase [EC:3.1.4.52]
K00346	0.010562189998498598	0.0006984203560367246	46993	886	107.65495351475332	0.0	0.10835489778679956	0.0	Na+-transporting NADH:ubiquinone oxidoreductase subunit A [EC:7.2.1.1]
NF007626.0	0.00966145989892953	0.0	2732	0	23.619012071818	3.0922539314628524e-123	0.108298052206599	7.294711149943077e-123	methylated-DNA--[protein]-cysteine S-methyltransferase
K03613	0.010547355777659305	0.0006984203560367246	46927	886	107.56641013390396	0.0	0.108265778720111	0.0	H+/Na+-translocating ferredoxin:NAD+ oxidoreductase subunit E
K11740	0.009000551113780272	0.0	40045	0	107.3386639808671	0.0	0.1080365518213203	0.0	bacteriophage N4 adsorption protein B
NF007489.0	0.00958365897734225	0.0	2710	0	23.522797379194675	2.98781655753188e-122	0.1078568879541282	7.039635306198003e-122	Zn-dependent oxidoreductase
NF007972.0	0.009558904138655388	0.0	2703	0	23.492104155711697	6.148389964364284e-122	0.1077161531804196	1.4474387398624764e-121	tRNA 2-thiocytidine(32) synthetase TtcA
NF007137.0	0.009523540083388442	0.0	2693	0	23.44818966731834	1.7237094103320246e-121	0.10751479617436918	4.052912471376408e-121	dipeptide/tripeptide permease DtpA
PF11072	0.010653908344148992	0.00047062869658477425	12822	104	46.436990010085175	0.0	0.10747113152433366	0.0	Protein of unknown function (DUF2859)
PF08751	0.13017676746694232	0.09476832849883021	156668	20942	46.34665173134773	0.0	0.10726205774427676	0.0	TrwC relaxase
K20956	0.008846365121420344	0.0	39359	0	106.40702027140553	0.0	0.10709885080881103	0.0	diguanylate cyclase [EC:2.7.7.65]
PF11444	0.011788098399504114	0.001077015671030541	14187	238	46.26069615227236	0.0	0.10706312703533	0.0	Protein of unknown function (DUF2895)
NF011623.0	0.009424520728640995	0.0	2665	0	23.324806033958076	3.0895269271420988e-120	0.10694905671302085	7.246460083620587e-120	L-asparagine permease
K14058	0.008817146201585373	0.0	39229	0	106.22958169028195	0.0	0.10692025856857153	0.0	tRNA 2-thiocytidine biosynthesis protein TtcA
K02556	0.008793096782951974	0.0	39122	0	106.0833212837249	0.0	0.10677304721521218	0.0	chemotaxis protein MotA
K01894	0.008793096782951974	0.0	39122	0	106.08332128372491	0.0	0.10677304721521218	0.0	glutamyl-Q tRNA(Asp) synthetase [EC:6.1.1.-]
NF009070.0	0.011295279252262416	0.0009268488886557194	3194	53	23.26765203033053	1.1702576206381991e-119	0.10668699379312177	2.742581639194272e-119	electron transport complex subunit RsxE
NF041885.1	0.009378547456793965	0.0	2652	0	23.267306796256214	1.1796981820458206e-119	0.106685410823534	2.763574578734438e-119	selenate/tellurate reductase subunit YnfE
NF007092.0	0.009364401834687187	0.0	2648	0	23.249587190062996	1.7815650854598114e-119	0.10660416276663989	4.1718072766311375e-119	zinc transporter ZntB
K05782	0.02080387092249974	0.006772154942112304	92560	8591	105.85823955652653	0.0	0.1065465020656579	0.0	benzoate membrane transport protein
K12573	0.008739154161718181	0.0	38882	0	105.75455077616519	0.0	0.10644213912804212	0.0	ribonuclease R [EC:3.1.13.1]
NF041888.1	0.009318428562840158	0.0	2635	0	23.1919084743707	6.80178475365247e-119	0.10633969393347022	1.5894901651757078e-118	putative ABC transporter substrate-binding protein YdcS
TIGR03374.1	0.009297210129679991	0.0	2629	0	23.165240900946195	1.2622368939475276e-118	0.10621741759734873	2.9452066775501094e-118	aminobutyraldehyde dehydrogenase
NF009079.0	0.009240627641252878	0.0	2613	0	23.09398242786519	6.563612994105347e-118	0.1058906827697267	1.5251139734171702e-117	methionine aminotransferase
PF12101	0.010359766747375576	0.00047062869658477425	12468	104	45.71936641559307	0.0	0.10581030424651319	0.0	Protein of unknown function (DUF3577)
K14781	0.008647002183777116	6.306278609812412e-06	38472	8	105.10286924678739	0.0	0.10578622053628314	0.0	ATP-dependent RNA helicase DHR2 [EC:3.6.4.13]
K12078	0.009182832221366132	0.0003310796270151516	40856	420	103.98289464535905	0.0	0.1046589641537429	0.0	type IV secretion system protein PtlA
K14638	0.008438199287417973	0.0	37543	0	103.90186328297565	0.0	0.10457740594669417	0.0	solute carrier family 15 (peptide/histidine transporter), member 3/4
K10094	0.0087036419360726	0.0001395264142420996	38724	177	103.60716289276863	0.0	0.10428078949184394	0.0	nickel transport protein
NF008930.0	0.008925887549377062	0.0	2524	0	22.693674950534373	6.290594445476878e-114	0.10405519024587163	1.4510710202121795e-113	AI-2E family transporter
NF005066.0	0.008918814738323674	0.0	2522	0	22.684601069497766	7.729317735540601e-114	0.1040135846258215	1.781509681856579e-113	dihydromonapterin reductase
K17820	0.008345597787633295	0.0	37131	0	103.32535204280782	0.0	0.10399714638164995	0.0	ATP-dependent RNA helicase DHX33 [EC:3.6.4.13]
K12820	0.008342675895649798	0.0	37118	0	103.30711055242342	0.0	0.10397878628987944	0.0	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15/PRP43 [EC:3.6.4.13]
K12814	0.008342675895649798	0.0	37118	0	103.30711055242342	0.0	0.10397878628987944	0.0	pre-mRNA-splicing factor ATP-dependent RNA helicase-like protein PRP2 [EC:3.6.4.13]
K18711	0.008342675895649798	0.0	37118	0	103.30711055242342	0.0	0.10397878628987944	0.0	ATP-dependent RNA helicase DHX40 [EC:3.6.4.13]
K18994	0.008342675895649798	0.0	37118	0	103.30711055242342	0.0	0.10397878628987944	0.0	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32 [EC:3.6.4.13]
NF006452.0	0.00886223224989656	0.0	2506	0	22.61188361493327	4.015132304919681e-113	0.10368016006653803	9.239486200665594e-113	crotonase/enoyl-CoA hydratase family protein
NF010575.0	0.008844550222263088	0.0	2501	0	22.589113111329354	6.718904137446502e-113	0.10357575260103655	1.5455099830629554e-112	succinate-semialdehyde dehydrogenase
PF06649	0.008970487793123734	0.0	10796	0	44.72412970750074	0.0	0.10350698495019346	0.0	Protein of unknown function (DUF1161)
NF040481.1	0.008826868194629614	0.0	2496	0	22.5663204448611	1.1243217249837552e-112	0.10347124351422118	2.577921967981583e-112	YdcK family protein
NF007539.0	0.008826868194629614	0.0	2496	0	22.5663204448611	1.1243217249837552e-112	0.10347124351422118	2.577921967981583e-112	50S ribosomal protein L7/L12-serine acetyltransferase
TIGR01967.1	0.00879150413936267	0.0	2486	0	22.520668353925103	3.148151713988137e-112	0.10326191924136449	7.206748903661644e-112	ATP-dependent RNA helicase HrpA
NF008348.1	0.00879150413936267	0.0	2486	0	22.520668353925103	3.148151713988137e-112	0.10326191924136449	7.206748903661644e-112	ATP-dependent RNA helicase HrpA
K21089	0.009987026799593273	0.0008324287764952384	44434	1056	102.47364845077496	0.0	0.10313990523624623	0.0	MerR family transcriptional regulator, activator of the csg genes
PF20109	0.015829637175509472	0.003746928468963395	19051	828	44.53705080000276	0.0	0.10307402015491329	0.0	Family of unknown function (DUF6499)
K03683	0.016156938864130225	0.004281963176062628	71885	5432	102.24596912403665	0.0	0.10291074559824111	0.0	ribonuclease T [EC:3.1.13.-]
